Date,Day,Slot Time,Venue,Court,Status,Price,Last checked
2026-09-19,Sat,6:00 am to 7:00 am,Indrayu Jeta Sports | Noida,Tennis (Acrylic Court),Not Booked,222,19 Sep 06:54
2026-09-19,Sat,6:00 pm to 7:00 pm,Indrayu Jeta Sports | Noida,Tennis (Acrylic Court),Booked,222,19 Sep 18:54
2026-09-19,Sat,7:00 pm to 8:00 pm,Indrayu Jeta Sports | Noida,Tennis (Acrylic Court),Booked,222,19 Sep 19:53
2026-09-19,Sat,8:00 pm to 9:00 pm,Indrayu Jeta Sports | Noida,Tennis (Acrylic Court),Not Booked,222,19 Sep 20:53
2026-09-19,Sat,10:00 am to 10:30 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 10:19
2026-09-19,Sat,10:00 pm to 10:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 22:20
2026-09-19,Sat,10:30 am to 11:00 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 10:53
2026-09-19,Sat,10:30 pm to 11:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 22:52
2026-09-19,Sat,11:00 am to 11:30 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 11:19
2026-09-19,Sat,11:00 pm to 11:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 23:18
2026-09-19,Sat,11:30 am to 12:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 11:58
2026-09-19,Sat,11:30 pm to 12:00 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 23:55
2026-09-19,Sat,12:00 pm to 12:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 12:22
2026-09-19,Sat,12:30 pm to 1:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 12:53
2026-09-19,Sat,1:00 pm to 1:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 13:19
2026-09-19,Sat,1:30 pm to 2:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 13:55
2026-09-19,Sat,2:00 pm to 2:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 14:20
2026-09-19,Sat,2:30 pm to 3:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 14:53
2026-09-19,Sat,3:00 pm to 3:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 15:19
2026-09-19,Sat,3:30 pm to 4:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 15:53
2026-09-19,Sat,4:00 pm to 4:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 16:19
2026-09-19,Sat,4:30 pm to 5:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 16:52
2026-09-19,Sat,5:00 am to 5:30 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 05:19
2026-09-19,Sat,5:00 pm to 5:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 17:19
2026-09-19,Sat,5:30 am to 6:00 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 05:19
2026-09-19,Sat,6:00 am to 6:30 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 06:22
2026-09-19,Sat,6:30 am to 7:00 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 06:54
